State,Education,Public Welfare,Hospitals,Health,Highways,Police Protection,Correction,Natural Resources,Parks and Rec,Government Administration,Interest on General Debt,Other and Unallocable,Utility,Liquor Stores,Insurance Trust
Alabama,36.4917789361,21.9529611126,7.3287961516,1.9209361718,6.0265562619,0.5526390414,1.8323442621,0.9488003107,0.0700204001,2.0103220883,1.2203471975,4.2069126713,0,0.9164385186,11.4647638002
Alaska,20.0227143126,14.8660974083,0.569370104,2.4876459449,8.2232060351,1.1906930811,2.391372984,2.3664487304,0.2086318382,4.7306575594,1.8765665935,17.4457647815,1.4906330033,0,9.2623490973
Arizona,25.504005853,22.9917104958,1.8507708439,5.2075791702,5.3360797751,0.6288891813,2.2437643321,0.7120662441,0.21202681,1.7570464359,1.3486744474,7.314993962,0.0936432122,0,11.3213016913
Arkansas,34.9015470315,23.8603236039,4.3457001806,1.3808422889,5.6599553601,0.5064501156,1.8746007454,1.1536272404,0.2702385656,2.8131382532,0.639438648,4.1092472384,0,0,9.1102622462
California,25.4300431089,25.3725079863,2.8880984485,2.785719784,4.1836454951,0.5076473638,2.4875253551,1.3008996819,0.1658730333,2.3346464149,2.2920964518,4.2794548144,0.2759445257,0,15.6165223614
Colorado,30.5899879968,18.84768162,2.2932951441,3.4056667934,4.6750119067,0.5576316031,3.1487571178,1.036781315,0.2680337793,2.6012040108,2.7328021259,4.6785714908,0.0510379173,0,17.8754375336
Connecticut,22.0369871292,22.9785908869,4.0460237474,2.9837121855,3.3160691483,0.730391002,2.1025832041,0.5149963129,0.1949465416,3.7349218066,4.5068652779,7.3228103497,2.3594550124,0,15.1701488065
Delaware,30.818716759,22.1268027819,0.5340682202,5.0482384561,6.6835929528,1.4193473355,3.1658486414,0.823267705,0.4940930876,5.4300733787,3.9645430341,6.8616119509,1.5113653534,0,8.2020979255
Florida,24.9799396613,23.5418757232,0.8575278828,3.9331880212,6.1333828552,0.5375238634,2.242379386,1.1496241376,0.1093268343,2.6794035283,1.3729165604,6.7599720517,0.1483565319,0,9.6102246877
Georgia,32.4149385367,21.534738547,1.7729918794,2.2516916101,4.0582039314,0.5976936537,2.7809720779,0.8503598974,0.3675769137,1.5471864862,1.2438460243,2.9388036461,0.0697293994,0,12.6087135762
Hawaii,26.2962736362,16.2142277546,6.1783929365,3.8233204727,3.1616107962,0.2650222264,1.5526052163,0.8739700232,0.7404894201,3.1922713966,2.696510578,13.0133506868,0.0429820056,0,10.6145082655
Idaho,28.310369495,23.3283129996,0.5585369703,1.9001735891,7.3634921078,0.5811540279,2.6744351219,2.3204419654,0.4097158791,3.5701941255,1.7226552426,5.8264159992,0,1.1077460015,11.1657666341
Illinois,20.4419077775,24.1730629866,1.592507086,2.6518220789,5.8812610352,0.5534137966,1.5707456168,0.2810196624,0.310577009,1.6269736932,4.1460989794,9.2283032933,0,0,16.6909758701
Indiana,38.3136345569,28.1802186682,0.421174101,1.3001305212,6.6331741978,0.6228457146,1.8045415846,0.878442547,0.202300846,1.468510496,2.5212923731,5.3533233133,0,0,8.766038774
Iowa,28.0018373742,22.7901666544,6.5783822675,1.1115057768,7.1776455345,0.4169326187,1.4495942307,1.2783662606,0.1345047258,2.3835956696,1.063627912,5.101232618,0,0.7601460515,10.5649449537
Kansas,33.6260861093,18.8020494896,8.6410875541,1.9798187613,6.5595326555,0.5832035447,1.9265802174,1.2861521773,0.2191773673,2.2850049672,1.1949249622,3.4806849286,0,0,10.6634860476
Kentucky,33.011209978,24.7361453295,3.9541692079,2.4135733264,8.2605345794,0.6892232283,1.8581936495,1.1656076582,0.3461061755,3.0681806992,2.4187100078,3.4847582334,0.0907422194,0,15.377991663
Louisiana,28.4305094461,22.9374783378,6.1808016286,1.6771303041,5.4935080887,1.1418750663,2.2449962756,2.5642434174,1.1506239752,3.0250192865,2.7180167757,11.4291257868,0.0165662655,0,13.5491435945
Maine,21.0952710658,30.220426439,1.1693486921,5.0595054324,6.421189323,0.7898813444,1.4293862147,1.7962429598,0.2611136552,3.0194505225,2.4350478216,8.6009638596,0.2461731731,0,10.9688630951
Maryland,27.2675935757,24.0290393099,1.2370080804,5.1420793717,4.6627102433,1.3180850889,3.3402689277,1.0696462077,0.3874888693,3.9344716346,2.6353161564,6.7204161079,2.2304765394,0,10.6542992572
Massachusetts,23.4686171726,28.0676373319,0.8832242889,2.0777615095,3.6172529758,1.4967588804,1.9767347495,0.6200644337,0.5098038996,3.1126422849,5.2306416921,12.5644048526,4.1298383718,0,14.6526988893
Michigan,34.5961202475,22.5688505935,4.6390905413,2.0021298177,3.643057184,0.6039458238,2.797410141,0.480291039,0.1707339028,1.424516433,2.1686710118,5.5510332836,0.210689633,1.1184487026,12.8210304217
Minnesota,32.9567635609,24.83651931,0.5815159284,0.9470790786,5.4050001224,0.8391235258,1.1294505099,1.3334301594,0.5466844106,2.0265731954,1.0562321637,5.235862957,0.0188468756,0,10.6942760857
Mississippi,24.9535986811,26.601878536,5.1757999771,1.8461786273,6.2960265799,0.5130019507,1.7217069722,1.3325226699,0.4106567604,2.0526023545,1.2588897463,7.3547811252,0,1.0380412837,11.3799409007
Missouri,23.8546925248,21.2852248983,4.4848594436,4.2256688244,4.2507533347,0.5716198742,1.9623286824,0.904060248,0.1102769859,1.3938317152,2.1069309989,4.2331936445,0,0,11.7571904666
Montana,23.2619728283,17.8042666467,0.6223085715,2.1925061134,8.5595021732,0.6406622457,2.3947473163,4.0441600676,0.2190664482,4.7613565082,1.7657487366,9.6615494786,0.1495104079,0.8880672679,11.6761439695
Nebraska,29.3197034749,21.9188798251,2.2796741902,4.1505362188,6.5673431615,0.7542606151,2.1465381316,2.186121946,0.3927470192,1.7132930216,0.6096133812,7.9339425723,0,0,6.0636900613
Nevada,25.6162220874,14.0863195355,1.5577296744,1.6169765223,4.2356566849,0.5962476957,1.6661298106,0.6816263002,0.1127661876,1.7390323058,1.1109312136,9.4160705549,0.4910634146,0,14.968555334
New Hampshire,25.3330929199,20.6094824745,0.6052393072,1.7188379846,6.8348556594,0.6875792914,1.3770939767,0.9414833667,0.2817100503,3.11674357,4.3756070308,10.1551340671,0.0771830171,5.666024761,9.1150926055
New Jersey,24.1855032986,21.6458722823,3.1009474717,1.8557049723,4.7003669836,1.2049041597,2.115026446,0.8558009115,0.2807016624,2.4901905262,3.1829257203,8.0772059066,4.0894480781,0,21.3976421219
New Mexico,30.3574063779,22.1601556578,5.3552781568,2.75881471,4.2463907279,0.755327572,2.2514613972,1.0258924209,0.2863777003,3.3554353869,1.6173862749,10.1460611063,0,0,12.2708512323
New York,19.3328710644,27.2525824197,2.2318373289,4.3292526797,1.9914483871,0.4675897979,1.6152619075,0.1991818116,0.2586113509,2.5952792093,2.0160383978,6.8432540628,6.0111197755,0,11.3168404558
North Carolina,32.0819392641,21.6267338514,3.3668628781,2.2812175082,6.1469580286,1.1717172579,2.0170456236,0.8523611724,0.2865285438,2.1605315455,1.0327076674,3.8075232133,0.1203193234,0,12.4172984846
North Dakota,21.8699241773,10.6831406953,0.6082239157,1.8245698273,11.9121586462,0.398733249,1.0948800544,3.7314003283,0.4515277508,1.7850249109,1.1019351756,10.066196967,0,0,7.0637163502
Ohio,23.9162881781,21.2373739526,3.4591376803,2.7599755114,4.0715381289,0.3528513629,1.708615039,0.4320453414,0.0922961229,1.9880979355,1.3634675644,4.4793704595,0,0.3941236157,18.1905813547
Oklahoma,27.7921380965,23.7547204669,0.9799925882,3.2703188704,6.8421911492,0.8867969728,2.1603678964,0.8781006891,0.3099574117,2.8362562677,1.7498243567,2.858583435,3.0893594954,0,9.5936064589
Oregon,21.7907359991,19.9773602222,4.7053690465,2.4066286139,3.9885632634,0.5574875905,2.2205107916,1.366310195,0.2463554661,3.3699205041,1.2887124918,3.2975028676,0.0832243798,0.7391909629,15.5370404544
Pennsylvania,25.7404635577,26.2523285515,4.3109466911,3.504152319,8.6466479984,1.0370411961,2.411080513,0.7303430806,0.3727229382,3.3655812962,1.6449978271,4.1625372952,1.13751568122242E-005,1.8044411251,15.5864707798
Rhode Island,22.8833824414,27.5819843023,0.7654056769,1.8287884408,3.6702013698,0.8259364122,2.1066308512,0.6819642598,0.3346756451,4.051804173,5.4611969766,5.4025437883,1.7810549741,0,16.9511860799
South Carolina,28.1797034054,20.4155035874,4.8721741152,3.4136758718,3.1162195482,0.6176228684,1.6553628967,0.6630905463,0.2932321078,1.8598932198,1.4586163325,8.8006172484,7.5129838123,0,12.4415842739
South Dakota,21.9838007191,16.8710502793,0.3807775571,3.097858964,11.3383680009,0.6653796976,2.0234342281,3.0950981965,0.8010219354,2.8900895044,1.9827867014,4.5160947537,0,0,8.0850378902
Tennessee,30.3202017731,33.8723300911,1.2516183841,2.079601196,5.4150703287,0.7196980327,2.7502176698,0.9000490414,0.2640223798,2.6831241894,0.8173481136,4.9413920261,0,0,8.514907183
Texas,34.7866112756,22.5521201409,3.8374726003,2.032491483,5.52174549,0.5859255369,2.7121922732,0.7625167554,0.1223523406,1.3324268439,1.2670828764,3.6337586457,0,0,12.3855136118
Utah,37.2762001858,16.364462236,6.4029646777,2.1192420191,5.2150591304,0.7786161385,1.6839633131,0.9357394156,0.2050893367,3.5298974792,1.4677581702,5.1188070929,0,1.1193074668,9.0002948129
Vermont,38.23789204,25.8822333461,0.0045586272,3.7449837232,7.2344142998,1.4471973576,2.1463192262,1.3006065198,0.2197830125,2.6657644715,1.4962780477,4.6939405997,0,0.8277323371,5.6904374455
Virginia,29.9191204145,19.3799708325,7.076274967,2.6418589292,7.6945700748,1.1000777574,3.3565479305,0.4894991952,0.2327431323,2.5848874599,2.2791793143,6.8802208238,0,1.0107101682,8.9873943225
Washington,32.5567375531,17.5273826179,4.5148558955,4.5654153316,6.6520100922,0.7455673003,1.995270617,1.8002598277,0.2594662876,1.5611184377,2.6944801022,4.2394376555,0.1113857869,0.9673548048,15.3451826984
West Virginia,29.7219556926,24.186862585,0.8653801511,2.369702114,7.5620104526,0.5150446941,2.0621607463,1.5487688367,0.351604192,3.0075534996,1.7396277312,6.3689400501,0.0332888636,0.5082483892,9.9190457906
Wisconsin,23.7025821124,19.2824771376,3.0990652231,1.6802149822,5.2499241368,0.2671500878,2.3771563926,1.4478358076,0.0619260876,1.5640983926,2.0263377737,8.7056129367,0.0183758294,0,12.2852258201
Wyoming,22.7598790615,10.3397499373,0.0581323194,3.6263054356,7.233532697,0.6727796042,1.8911421819,5.2046711821,0.3815370803,3.2389062727,0.6765556304,10.4148479687,0,1.1586591146,9.3807317041
